id,facilityID,name,location,contactInfo
1,FAC86702,Bruce-Newman Clinic,"180 Jason Ways Suite 401, Rachelshire",+1-802-750-3926x14293
2,FAC402491,"Taylor, Hinton and Ramsey Clinic","16315 Novak Islands Apt. 477, West Angela",(862)496-1943x1142
3,FAC775584,Stewart-Rodriguez Hospital,"7541 Christopher Meadows, Hawkinshaven",(810)315-8199x56046
4,FAC760053,"Stein, Spence and Armstrong Medical Center","622 Turner Park, North Gary",964-371-5437x993
5,FAC142071,Smith-Foster Clinic,"7569 Kevin Rapids Apt. 752, Novakport",001-479-235-6465x1939
6,FAC999297,"Murray, Erickson and Gonzales Medical Center","167 Cynthia Garden Suite 266, South Vickifort",001-368-386-8058
7,FAC806306,Sandoval LLC Hospital,"909 Rasmussen Isle, Rodriguezville",438-788-9937x567
8,FAC25755,Garcia-Perry Medical Center,"25457 Adriana Keys, Davismouth",714-801-0512x38282
9,FAC484498,Salinas Ltd Medical Center,"66093 Vargas Loaf, Lake Jasonview",001-719-818-2553x71478
10,FAC641003,Matthews-Bailey Clinic,"249 Emily Island Apt. 341, West Heather",966.692.9662x78282
